date,vol,naive_vol,l_shrinkage
2022-01-03,0.0069830994864727,0.007246764857989,0.3294481454230248
2022-01-04,0.0072096801836987,0.0073943030577279,0.2670580692835598
2022-01-05,0.0072977378465068,0.0075054641338323,0.3346844446969021
2022-01-06,0.0071695079695504,0.0074122983808174,0.3425658628982851
2022-01-07,0.0071866622989152,0.0074374885229439,0.3478215555225177
2022-01-10,0.00739145136457,0.0076687776071347,0.3537238156586396
2022-01-11,0.0077550633784661,0.008027160672772,0.3401173283718189
2022-01-12,0.0082453761343445,0.008454507086511,0.3041749198365944
2022-01-13,0.0083045533375768,0.0085227999612246,0.2946475813854434
2022-01-14,0.0084542326213267,0.0086531044178895,0.293253187605968
2022-01-18,0.0082814294092366,0.008495874657237,0.3103339805111185
2022-01-19,0.0080991209231661,0.0083588644184923,0.3505534274081515
2022-01-20,0.0079553819859487,0.0081796042596567,0.307556351972035
2022-01-21,0.0076176331456137,0.0078247328902126,0.2816382996165009
2022-01-24,0.0077456437277584,0.0080682319737507,0.3271785803608685
2022-01-25,0.0077975229669909,0.0081359810480697,0.3483558568817267
2022-01-26,0.007260814883534,0.0074643687106185,0.3017431618578897
2022-01-27,0.0093009496323224,0.0095856024926106,0.3740512501139329
2022-01-28,0.0086668607682838,0.0090188078401667,0.4003691559828232
2022-01-31,0.0086937673339604,0.0087273165208031,0.153435246617871
2022-02-01,0.0089022282986111,0.0089792521395281,0.2277881369022313
2022-02-02,0.0087756285137166,0.0088836366990768,0.2313792685011528
2022-02-03,0.0087617768229237,0.0088363473478979,0.2099132686577516
2022-02-04,0.0091984838870267,0.0092614619271408,0.1823151563832475
2022-02-07,0.0100759682213309,0.0103294262282593,0.3925542287141907
2022-02-08,0.0103261655968699,0.0103916691054944,0.1769200957917564
2022-02-09,0.0099403560244371,0.0101521819052503,0.3521071558985585
2022-02-10,0.0097522670610839,0.0099721015610406,0.3650047010516496
2022-02-11,0.01009176692302,0.0101456522971102,0.153879828295947
2022-02-14,0.0102329689686442,0.0105727805936895,0.4436990327691504
2022-02-15,0.0105096564616278,0.0105593339737289,1.4082700253094911e-18
2022-02-16,0.0105374098560345,0.0108434334513254,0.4304008716482605
2022-02-17,0.0104173211137892,0.0107819838257626,0.4634525607503036
2022-02-18,0.010572232414182,0.010612501242054,0.0
2022-02-22,0.0102401997382489,0.0103189898212591,0.0007275885879328
2022-02-23,0.0100602824457451,0.0102469757795801,0.4964305152406839
2022-02-24,0.0101116486290116,0.0101608172034105,0.2771958020204166
2022-02-25,0.0082509045379074,0.0083178783630625,7.79344116600438e-18
2022-02-28,0.0084979036319533,0.0085892507673044,2.2737367544323904e-05
2022-03-01,0.0083900768558729,0.0084771490914966,0.0
2022-03-02,0.0081991013685467,0.0082611362519177,0.0
2022-03-03,0.0086777185823445,0.0087190181339187,0.0334203556360818
2022-03-04,0.0086275662293846,0.0086885119334097,0.0131336316673303
2022-03-07,0.0080239176872745,0.0080994472191736,2.0000560636837386e-07
2022-03-08,0.0059000263122441,0.0059233381789651,0.0
2022-03-09,0.0051554669275419,0.0053295953440958,8.108891943689028e-18
2022-03-10,0.0052354880353418,0.005383842701132,0.0
2022-03-11,0.0046040875791781,0.0047659246055627,0.0
2022-03-14,0.0052180558786682,0.005371634167493,3.96101034407222e-18
2022-03-15,0.0049725158413192,0.0050784912366521,0.0
2022-03-16,0.0051181761897716,0.0051835001044172,0.0
2022-03-17,0.0049245479269161,0.0049467683818209,0.0334219252189872
2022-03-18,0.0052215255937397,0.0052267349330674,0.0592491748990927
2022-03-21,0.0053657491451746,0.0054049043184611,0.0222153568893071
2022-03-22,0.0054962663735317,0.0054998983251456,0.0887449516869351
2022-03-23,0.0059355843439698,0.0059352562719895,0.0911025607396503
2022-03-24,0.0063686537573502,0.0064907499240996,2.9827883170607736e-17
2022-03-25,0.0061543505108013,0.0062774349464113,0.0
2022-03-28,0.0072583407797158,0.0074353869153523,4.2330549977778796e-18
2022-03-29,0.0072169163242548,0.0073074353183517,0.0
2022-03-30,0.0075311776343555,0.0075937665407812,3.5146934131756924e-08
2022-03-31,0.0090776655497072,0.0090871912046984,0.0641046286311321
2022-04-01,0.0087714862165804,0.008831162908818,0.0
2022-04-04,0.0088369447755823,0.0088840861894023,2.5574942063267904e-17
2022-04-05,0.0100154784271088,0.010077969343476,0.0
2022-04-06,0.010404192401929,0.0105406953872982,0.0
2022-04-07,0.0103058484155146,0.0104432772178644,8.13538122378656e-18
2022-04-08,0.0108042215679213,0.0109171911253964,0.0
2022-04-11,0.0107324237590461,0.0108593920768904,4.6162141141757194e-18
2022-04-12,0.0107960848881402,0.0108761590344647,0.0
2022-04-13,0.0105561315951372,0.010654163810037,0.0
2022-04-14,0.0108861858736649,0.0109695421919735,0.0
2022-04-18,0.0109853997616993,0.0110713527169903,0.0
2022-04-19,0.010743637789862,0.0109260638014245,6.393067939050039e-18
2022-04-20,0.0122633839233657,0.0123673834962998,0.0
2022-04-21,0.0122608250144953,0.0123357545848331,0.0003307793215502
2022-04-22,0.0121043036478197,0.0121630402745221,0.0321836714684559
2022-04-25,0.0126729215376443,0.0127238797769805,0.0334214274369607
2022-04-26,0.0123399190801145,0.0123971392136919,0.0
2022-04-27,0.0120629472880063,0.0121323368456745,0.0
2022-04-28,0.0118682947141127,0.0119853303999217,0.0022541642248099
2022-04-29,0.0108276844465885,0.0108327452273513,0.0749093096673701
2022-05-02,0.0111042098120209,0.0111604777309474,0.028710371821494
2022-05-03,0.0111157464585392,0.0111819058013059,0.0285514330557778
2022-05-04,0.0101790524265844,0.010184476041579,0.0720305841705206
2022-05-05,0.0092798563572624,0.0092953521523579,0.0686429066194833
2022-05-06,0.0090483861571448,0.0090504754372588,0.0951494447055831
2022-05-09,0.0085951026435114,0.0085907740072421,0.1220421344435719
2022-05-10,0.0087679343721961,0.0087693889872591,0.0888266364818149
2022-05-11,0.0094491964680141,0.0095185975627909,0.0336048639568384
2022-05-12,0.00947317329826,0.0095774936030166,2.2566585682568715e-18
2022-05-13,0.0104789518865883,0.0107363432579967,3.237244796030992e-18
2022-05-16,0.010451040481806,0.0107248439126166,6.460569502944273e-18
2022-05-17,0.0104982956925767,0.0107120471631879,5.3368352474978936e-18
2022-05-18,0.0090125507615362,0.0093318816643431,6.148709432481938e-18
2022-05-19,0.0092032808974155,0.0095515214049253,0.0
2022-05-20,0.0102160867992107,0.0106448974391612,0.0
2022-05-23,0.0098482189518493,0.0102723919717285,0.0
2022-05-24,0.0100677902748222,0.0104817607999604,0.0
2022-05-25,0.0105444443601765,0.0110120169356653,0.0
2022-05-26,0.0104183529876231,0.0108729654915196,3.0902615336935205e-17
2022-05-27,0.0103657706732998,0.0107855177713199,0.0
2022-05-31,0.010343832931547,0.010766073399141,9.813144879449317e-18
2022-06-01,0.0102634580770468,0.0106846000175248,0.0
2022-06-02,0.0103694001068922,0.0108512225315475,0.0
2022-06-03,0.0104149010613034,0.0109336663157318,0.0
2022-06-06,0.0104728719580609,0.0109746323239875,0.0
2022-06-07,0.0102996427966033,0.0107985138483122,0.0
2022-06-08,0.0101467859641649,0.0106534220742209,0.0
2022-06-09,0.0115752535096495,0.011719533494539,0.0
2022-06-10,0.0114902194830131,0.0116080848542355,1.0280222421702573e-17
2022-06-13,0.0092775493243377,0.0093734872066614,5.488255572422652e-20
2022-06-14,0.009033361825736,0.0090682105451044,0.0087311491370546
2022-06-15,0.0090892560811521,0.0091548156575744,8.625562548433319e-18
2022-06-16,0.0089561582452754,0.0090289557718031,1.6306269119543216e-17
2022-06-17,0.0092575079080092,0.0093033144895047,3.434746610240306e-17
2022-06-21,0.0079282129501517,0.0079877823246464,0.0003637978807091
2022-06-22,0.007968551025711,0.0080049308653418,9.754489622074776e-18
2022-06-23,0.007574971515076,0.007608815184827,0.033421427626344
2022-06-24,0.0066732915180991,0.0066913501607325,0.1512524593324671
2022-06-27,0.0065363125056758,0.0065395398265231,0.1527076508560697
