date,10y,BEST_EPS,CORR_COEF,DVD_PAYOUT_RATIO,DVD_SH_LAST,NET_AGGTE_DVD_YLD,NET_DEBT_TO_EBITDA,PE_RATIO,PX_TO_BOOK_RATIO,SHORT_AND_LONG_TERM_DEBT,acc_rate,bbb_credit,default_yield,erp,est_pe,global_bonds_total_r,indust_prod,inflation_total_r,libor3m,sentiment,spread,spx,spx_add,spx_add_bid,tail,ts
2021-03-03,1.4808,173.7694,0.977863,60.2537,0.205033,1.51,1.4581,30.292,4.193,1153.3025,4.056986301369863e-05,208.92,2.71,134.49,3819.72,543.3522,-3.35,389.3703,0.19375,45.9,35.41999999999962,-0.01306620434127681,3819.72,3784.3,346.22,133.609
2021-03-04,1.564,173.8611,0.977852,60.109,0.661475,1.53,1.465,29.8644,4.1348,1155.2886,4.2849315068493155e-05,203.73,2.73,133.9,3768.47,541.7051,-3.35,390.1717,0.1755,40.3,46.649999999999636,-0.013417213827191521,3768.47,3721.82,341.84,141.737
2021-03-05,1.5661,174.0014,0.977897,60.1089,0.162726,1.5,1.4661,30.4465,4.2154,1155.5974,4.2906849315068495e-05,210.39,2.77,136.41,3841.94,538.7504,-3.35,387.1619,0.18538,40.3,54.95000000000027,0.019495975820425837,3841.94,3786.99,348.07,142.332
2021-03-08,1.5907,174.1409,0.9771,60.1094,0.043824,1.51,1.4663,30.2833,4.1928,1155.5974,0.00013074246575342467,211.85,2.84,136.11,3821.35,536.5558,-3.35,385.8182,0.1825,40.3,29.769999999999982,-0.005359271617984662,3821.35,3791.58,346.17,142.58
2021-03-09,1.5263,174.1934,0.976647,60.1094,0.35291,1.49,1.4663,30.7119,4.2521,1155.5974,4.1816438356164383e-05,218.98,2.91,137.14,3875.44,538.0334,-3.35,389.2524,0.17725,40.3,35.92000000000007,0.014154683554241432,3875.44,3839.52,350.95,136.365
2021-03-10,1.5178,174.1627,0.976426,60.1094,0.213073,1.48,1.4663,30.8431,4.2795,1155.6626,4.158356164383562e-05,218.18,2.9,137.64,3898.81,538.8547,-3.35,390.6709,0.18413,40.3,36.65000000000009,0.006030283013025661,3898.81,3862.16,353.03,136.099
2021-03-11,1.537,174.3546,0.976357,60.1075,0.26771,1.47,1.467,31.162,4.324,1155.2929,4.210958904109589e-05,215.61,2.78,139.28,3939.34,540.5076,-3.35,391.9734,0.18388,49.4,42.120000000000346,0.010395479646353678,3939.34,3897.22,356.7,139.209
2021-03-12,1.6247,174.3737,0.976284,60.108,0.959113,1.47,1.467,31.1936,4.3305,1155.2929,4.451232876712329e-05,209.53,2.77,141.54,3943.34,537.733,-3.35,388.4814,0.1895,49.4,40.100000000000364,0.0010153985185334946,3943.34,3903.24,357.1,147.373
2021-03-15,1.6055,174.5724,0.976287,60.1079,0.180438,1.46,1.467,31.3961,4.3586,1155.2929,0.00013195890410958903,223.67,2.77,141.95,3968.94,537.8582,-3.35,390.4378,0.182,49.4,53.460000000000036,0.006491958593476621,3968.94,3915.48,359.43,145.052
2021-03-16,1.6179,174.6956,0.976279,60.1078,0.10711,1.46,1.4684,31.3383,4.3517,1155.5108,4.432602739726027e-05,218.38,2.76,142.0,3962.71,537.9298,-3.35,391.0354,0.19,49.4,40.76000000000022,-0.0015696886322292825,3962.71,3921.95,358.88,146.489
2021-03-17,1.6427,174.7624,0.976252,60.1078,0.037166,1.46,1.4675,31.3949,4.3643,1155.5257,4.500547945205479e-05,215.32,2.78,143.02,3974.12,536.9351,-3.35,389.788,0.18963,49.4,42.19999999999982,0.0028793426720601367,3974.12,3931.92,358.88,150.764
2021-03-18,1.7082,174.7948,0.975865,60.1105,0.189104,1.48,1.4725,30.9322,4.3,1155.2542,4.68e-05,214.65,2.86,142.01,3915.46,536.5819,-3.35,388.676,0.18663,48.9,32.36999999999989,-0.014760500437832724,3915.46,3883.09,354.61,154.724
2021-03-19,1.721,174.9272,0.97574,60.1202,0.416801,1.48,1.4693,30.9135,4.2975,1155.2576,4.715068493150685e-05,213.9,2.83,141.7,3913.1,536.5385,-3.35,388.4664,0.19688,48.9,37.039999999999964,-0.0006027388863633076,3913.1,3876.06,354.61,156.781
2021-03-22,1.6946,174.7577,0.975671,60.122,0.010267,1.47,1.4688,31.1307,4.3277,1155.2576,0.00013928219178082195,217.19,2.77,141.73,3940.59,537.8945,-3.35,389.4017,0.1905,48.9,41.24000000000024,0.0070251207482558975,3940.59,3899.35,355.96,154.333
2021-03-23,1.6206,174.7391,0.975691,60.122,0.0,1.48,1.4688,30.8931,4.2946,1155.2576,4.44e-05,216.87,2.8,139.81,3910.52,538.0766,-3.35,389.85,0.20063,48.9,35.25999999999976,-0.0076308370066411335,3910.52,3875.26,353.84,147.335
2021-03-24,1.6084,174.7849,0.975579,60.122,0.228246,1.49,1.4682,30.7242,4.2712,1155.2655,4.4065753424657534e-05,210.7,2.71,138.6,3889.14,537.7728,-3.35,390.6712,0.19513,48.9,29.019999999999982,-0.005467303581109473,3889.14,3860.12,352.25,145.798
2021-03-25,1.6332,174.8342,0.975581,60.122,0.133354,1.48,1.4683,30.8852,4.2936,1155.2655,4.474520547945205e-05,209.03,2.75,139.36,3909.52,536.6374,-3.35,390.9925,0.193,50.9,41.090000000000146,0.00524023305923671,3909.52,3868.43,353.42,149.057
2021-03-26,1.676,174.8646,0.975585,60.122,0.030306,1.46,1.468,31.3989,4.365,1155.2655,4.591780821917808e-05,206.4,2.67,142.3,3974.54,536.145,-3.35,391.2332,0.199,50.9,47.909999999999854,0.016631197691788335,3974.54,3926.63,358.34,153.338
2021-03-29,1.7081,174.8517,0.975572,60.122,0.0,1.46,1.468,31.3717,4.3612,1155.2655,0.0001403917808219178,201.99,2.57,143.17,3971.09,534.641,-3.35,388.815,0.2025,50.9,40.30000000000018,-0.0008680249789911887,3971.09,3930.79,358.19,156.351
2021-03-30,1.7029,174.9723,0.975554,60.1279,0.413147,1.46,1.4678,31.2714,4.3475,1155.6663,4.665479452054795e-05,207.33,2.57,142.54,3958.55,533.1947,-3.35,385.8145,0.20163,50.9,37.0,-0.003157823166939022,3958.55,3921.55,356.83,155.246
2021-03-31,1.7404,175.3525,0.975428,60.1274,0.314249,1.46,1.4656,31.3822,4.3632,1155.5782,4.768219178082192e-05,203.13,2.49,143.65,3972.89,533.802,2.81,387.4301,0.19425,50.9,31.08999999999969,0.003622538555784205,3972.89,3941.8,357.86,157.624
2021-04-01,1.6699,175.6433,0.975277,60.1187,0.009193,1.44,1.466,31.7466,4.415,1155.6972,4.5750684931506844e-05,210.01,2.49,143.68,4019.87,534.8058,2.81,390.0762,0.19975,45.8,29.179999999999836,0.011825144919693331,4019.87,3990.69,361.46,150.55
2021-04-05,1.7003,175.8735,0.975376,60.1187,0.537227,1.42,1.466,32.2049,4.4787,1155.6972,0.00018633424657534247,198.22,2.35,146.33,4077.91,534.951,2.81,390.964,0.19975,45.8,31.809999999999945,0.014438277854756487,4077.91,4046.1,366.23,153.184
2021-04-06,1.656,175.9705,0.975422,60.1187,0.185568,1.41,1.466,32.1736,4.4744,1155.6972,4.536986301369862e-05,200.04,2.35,145.31,4073.94,537.029,2.81,390.6819,0.19738,45.8,31.360000000000127,-0.0009735379152555623,4073.94,4042.58,365.9,149.743
2021-04-07,1.6739,176.1208,0.97542,60.1187,0.079012,1.41,1.466,32.221,4.481,1155.6972,4.586027397260274e-05,195.32,2.33,145.67,4079.95,537.6401,2.81,390.0421,0.19363,45.8,26.98999999999978,0.0014752303666720756,4079.95,4052.96,366.27,151.922
2021-04-08,1.6192,176.3071,0.9754,60.1187,0.949511,1.41,1.466,32.357,4.4999,1155.6972,4.436164383561643e-05,200.49,2.35,145.97,4097.17,538.5224,2.81,390.0497,0.18775,56.9,23.950000000000273,0.004220639958823158,4097.17,4073.22,367.77,146.84
2021-04-09,1.6585,176.3788,0.975399,60.1187,0.046183,1.4,1.466,32.6068,4.5346,1155.6972,4.543835616438357e-05,196.15,2.36,147.32,4128.8,537.4741,2.81,388.7052,0.1875,56.9,37.940000000000055,0.007719962803593772,4128.8,4090.86,370.46,150.166
