date,irl
2002-02-15,[[0.3458365]]
2002-02-19,[[0.3736904]]
2002-02-20,[[0.40325785]]
2002-02-21,[[0.53414977]]
2002-02-22,[[0.37153852]]
2002-02-25,[[0.37592843]]
2002-02-26,[[0.40861735]]
2002-02-27,[[0.53174645]]
2002-02-28,[[0.51108545]]
2002-03-01,[[0.5711809]]
2002-03-04,[[0.38108042]]
2002-03-05,[[0.85343194]]
2002-03-06,[[0.41671276]]
2002-03-07,[[0.41865534]]
2002-03-08,[[0.6188298]]
2002-03-11,[[0.43354362]]
2002-03-12,[[0.3967216]]
2002-03-13,[[0.42808354]]
2002-03-14,[[0.43149805]]
2002-03-15,[[0.41820917]]
2002-03-18,[[0.18334386]]
2002-03-19,[[0.36785692]]
2002-03-20,[[0.18385291]]
2002-03-21,[[0.4325704]]
2002-03-22,[[0.18316281]]
2002-03-25,[[0.3869555]]
2002-03-26,[[0.44236764]]
2002-03-27,[[0.3711185]]
2002-03-28,[[0.4365471]]
2002-04-01,[[0.5858871]]
2002-04-02,[[0.43864474]]
2002-04-03,[[0.37382394]]
2002-04-04,[[0.59182584]]
2002-04-05,[[0.4179087]]
2002-04-08,[[0.18285257]]
2002-04-09,[[0.40106505]]
2002-04-10,[[0.38902166]]
2002-04-11,[[0.8620848]]
2002-04-12,[[0.43765464]]
2002-04-15,[[0.41830164]]
2002-04-16,[[0.49918902]]
2002-04-17,[[0.51685834]]
2002-04-18,[[0.43675345]]
2002-04-19,[[0.43517098]]
2002-04-22,[[0.41309267]]
2002-04-23,[[0.40226614]]
2002-04-24,[[0.5470356]]
2002-04-25,[[0.43763703]]
2002-04-26,[[0.42844886]]
2002-04-29,[[0.3896007]]
2002-04-30,[[0.41578114]]
2002-05-01,[[0.41964275]]
2002-05-02,[[0.42002523]]
2002-05-03,[[0.41580752]]
2002-05-06,[[0.42280594]]
2002-05-07,[[0.42268795]]
2002-05-08,[[0.37154388]]
2002-05-09,[[0.38537195]]
2002-05-10,[[0.41718602]]
2002-05-13,[[0.2210255]]
2002-05-14,[[0.39227962]]
2002-05-15,[[0.72153187]]
2002-05-16,[[0.17574018]]
2002-05-17,[[0.39998984]]
2002-05-20,[[0.17777559]]
2002-05-21,[[0.39894563]]
2002-05-22,[[0.3719768]]
2002-05-23,[[0.1763398]]
2002-05-24,[[0.18099278]]
2002-05-28,[[0.17767972]]
2002-05-29,[[0.68239826]]
2002-05-30,[[0.7071045]]
2002-05-31,[[0.67962825]]
2002-06-03,[[0.70209223]]
2002-06-04,[[0.67927396]]
2002-06-05,[[0.6092848]]
2002-06-06,[[0.6093129]]
2002-06-07,[[0.53929657]]
2002-06-10,[[0.66294044]]
2002-06-11,[[0.18013114]]
2002-06-12,[[0.41141158]]
2002-06-13,[[0.17863098]]
2002-06-14,[[0.177643]]
2002-06-17,[[0.40530044]]
2002-06-18,[[0.17696694]]
2002-06-19,[[0.17779505]]
2002-06-20,[[0.17817718]]
2002-06-21,[[0.17866245]]
2002-06-24,[[0.1767106]]
2002-06-25,[[0.17425668]]
2002-06-26,[[0.17186052]]
2002-06-27,[[0.16646597]]
2002-06-28,[[0.15950641]]
2002-07-01,[[0.15466496]]
2002-07-02,[[0.15210775]]
