date,irl_gail
2002-11-27,[[0.16189939]]
2002-11-29,[[0.16296184]]
2002-12-02,[[0.16916054]]
2002-12-03,[[0.15334842]]
2002-12-04,[[0.1522946]]
2002-12-05,[[0.16176027]]
2002-12-06,[[0.1609104]]
2002-12-09,[[0.16275415]]
2002-12-10,[[0.16532952]]
2002-12-11,[[0.1677585]]
2002-12-12,[[0.16975674]]
2002-12-13,[[0.15940085]]
2002-12-16,[[0.16894338]]
2002-12-17,[[0.16330752]]
2002-12-18,[[0.1654259]]
2002-12-19,[[0.15904152]]
2002-12-20,[[0.16768649]]
2002-12-23,[[0.16995922]]
2002-12-24,[[0.1669667]]
2002-12-26,[[0.18016383]]
2002-12-27,[[0.1717054]]
2002-12-30,[[0.17594644]]
2002-12-31,[[0.1748155]]
2003-01-02,[[0.17735663]]
2003-01-03,[[0.17380667]]
2003-01-06,[[0.17826295]]
2003-01-07,[[0.17995146]]
2003-01-08,[[0.3859716]]
2003-01-09,[[0.40387124]]
2003-01-10,[[0.17437631]]
2003-01-13,[[0.17011055]]
2003-01-14,[[0.16622597]]
2003-01-15,[[0.1665473]]
2003-01-16,[[0.6373925]]
2003-01-17,[[0.16276383]]
2003-01-21,[[0.15992364]]
2003-01-22,[[0.46818727]]
2003-01-23,[[0.36766273]]
2003-01-24,[[0.37671986]]
2003-01-27,[[0.15805599]]
2003-01-28,[[0.56866527]]
2003-01-29,[[0.37030852]]
2003-01-30,[[0.17267358]]
2003-01-31,[[0.3679489]]
2003-02-03,[[0.40850544]]
2003-02-04,[[0.3467847]]
2003-02-05,[[0.37900007]]
2003-02-06,[[0.38785315]]
2003-02-07,[[0.37010294]]
2003-02-10,[[0.3864411]]
2003-02-11,[[0.1792025]]
2003-02-12,[[0.1790998]]
2003-02-13,[[0.3804686]]
2003-02-14,[[0.18381625]]
2003-02-18,[[0.18944103]]
2003-02-19,[[0.46192056]]
2003-02-20,[[0.1927383]]
2003-02-21,[[0.19003254]]
2003-02-24,[[0.18509173]]
2003-02-25,[[0.19057262]]
2003-02-26,[[0.19230634]]
2003-02-27,[[0.19041535]]
2003-02-28,[[0.19238895]]
2003-03-03,[[0.19050795]]
2003-03-04,[[0.18280974]]
2003-03-05,[[0.1850633]]
2003-03-06,[[0.18302101]]
2003-03-07,[[0.13471162]]
2003-03-10,[[0.18301988]]
2003-03-11,[[0.18341711]]
2003-03-12,[[0.18447182]]
2003-03-13,[[0.18463236]]
2003-03-14,[[0.18176112]]
2003-03-17,[[0.17993543]]
2003-03-18,[[0.17565247]]
2003-03-19,[[0.4567113]]
2003-03-20,[[0.17244029]]
2003-03-21,[[0.17197588]]
2003-03-24,[[0.17422342]]
2003-03-25,[[0.34338522]]
2003-03-26,[[0.4156744]]
2003-03-27,[[0.16503918]]
2003-03-28,[[0.16651368]]
2003-03-31,[[0.16196114]]
2003-04-01,[[0.1598973]]
2003-04-02,[[0.23981455]]
2003-04-03,[[0.16706637]]
2003-04-04,[[0.3480433]]
2003-04-07,[[0.16310507]]
2003-04-08,[[0.33050317]]
2003-04-09,[[0.36191288]]
2003-04-10,[[0.35471928]]
2003-04-11,[[0.15934822]]
